county_fips,county_name,state,dma_code,dma_name
31081,Hamilton,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31083,Harlan,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31085,Hayes,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31087,Hitchcock,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31089,Holt,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31091,Hooker,NE,751,DENVER
31093,Howard,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31095,Jefferson,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31097,Johnson,NE,652,OMAHA
31099,Kearney,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31101,Keith,NE,751,DENVER
31103,Keya Paha,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31105,Kimball,NE,751,DENVER
31107,Knox,NE,624,SIOUX CITY
31109,Lancaster,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31111,Lincoln,NE,740,NORTH PLATTE
31113,Logan,NE,740,NORTH PLATTE
31115,Loup,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31117,McPherson,NE,740,NORTH PLATTE
31119,Madison,NE,624,SIOUX CITY
31121,Merrick,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
31123,Morrill,NE,764,RAPID CITY
31125,Nance,NE,722,LINCOLN-HASTINGS-KEARNEY PLUS
